"map";"started_timestamp";"duration";"irl_duration";"game_id";"avg_elo";"num_players";"team_0_elo";"team_1_elo";"replay_enhanced";"leaderboard";"mirror";"patch";"raw_match_type";"game_type";"game_speed";"starting_age"
"arabia";"2023/10/20 19:38:59";"3583.6";"2108";"266581401";"902,750000000000";"8";"897,750000000000";"907,750000000000";FALSE;"team_random_map";FALSE;"93001";"9";"random_map";"normal";"dark"
"amazon_tunnel";"2023/10/20 19:13:44";"2267.8";"1334";"266576225";"904,500000000000";"4";"901,000000000000";"908,000000000000";FALSE;"team_random_map";FALSE;"93001";"7";"random_map";"normal";"dark"
"arena";"2023/10/01 06:28:09";"1749.3";"1029";"262734117";"906,833333333333";"6";"901,666666666667";"912,000000000000";TRUE;"team_random_map";FALSE;"93001";"8";"random_map";"normal";"dark"
"african_clearing";"2023/10/01 07:19:10";"7576.9";"4457";"262739851";"949,166666666667";"6";"944,333333333333";"954,000000000000";TRUE;"team_random_map";FALSE;"93001";"8";"random_map";"normal";"dark"
"megarandom";"2023/10/01 09:40:58";"4049.4";"2382";"262756567";"565,000000000000";"2";"547,000000000000";"583,000000000000";FALSE;"random_map";FALSE;"93001";"6";"random_map";"normal";"dark"
"nomad";"2023/09/24 07:34:44";"42.5";"25";"261382796";"905,500000000000";"6";"894,000000000000";"917,000000000000";TRUE;"team_random_map";FALSE;"93001";"8";"random_map";"normal";"dark"
"mongolia";"2023/09/24 07:39:45";"2993.7";"1761";"261383428";"892,875000000000";"8";"884,000000000000";"901,750000000000";TRUE;"team_random_map";FALSE;"93001";"9";"random_map";"normal";"dark"
"arena";"2023/09/25 16:53:41";"2182.8";"1284";"261666503";"950,000000000000";"4";"947,000000000000";"953,000000000000";TRUE;"team_random_map";FALSE;"93001";"7";"random_map";"normal";"dark"
"african_clearing";"2023/09/25 16:46:02";"450.5";"265";"261665211";"873,375000000000";"8";"863,750000000000";"883,000000000000";TRUE;"team_random_map";FALSE;"93001";"9";"random_map";"normal";"dark"
"nomad";"2023/09/25 11:22:26";"1264.8";"744";"261620614";"771,000000000000";"8";"766,500000000000";"775,500000000000";FALSE;"team_random_map";FALSE;"93001";"9";"random_map";"normal";"dark"
"arabia";"2023/09/26 05:59:13";"2391.9";"1407";"261774837";"990,250000000000";"4";"1009,500000000000";"971,000000000000";TRUE;"team_random_map";FALSE;"93001";"7";"random_map";"normal";"dark"
"atacama";"2023/09/30 21:13:07";"1921";"1130";"262657499";"816,166666666667";"6";"811,000000000000";"821,333333333333";TRUE;"team_random_map";FALSE;"93001";"8";"random_map";"normal";"dark"
"arena";"2023/09/30 06:25:22";"3114.4";"1832";"262515606";"935,250000000000";"8";"930,500000000000";"940,000000000000";TRUE;"team_random_map";FALSE;"93001";"9";"random_map";"normal";"dark"
"nomad";"2023/09/30 05:54:04";"2502.4";"1472";"262511964";"901,500000000000";"4";"890,500000000000";"912,500000000000";TRUE;"team_random_map";FALSE;"93001";"7";"random_map";"normal";"dark"
"atacama";"2023/09/30 21:09:11";"204";"120";"262656720";"586,500000000000";"2";"582,000000000000";"591,000000000000";TRUE;"random_map";TRUE;"93001";"6";"random_map";"normal";"dark"
"haboob";"2023/09/19 18:29:45";"3180.7";"1871";"260498937";"566,500000000000";"2";"549,000000000000";"584,000000000000";TRUE;"random_map";FALSE;"93001";"6";"random_map";"normal";"dark"
"megarandom";"2023/09/19 18:07:28";"2128.4";"1252";"260495096";"605,000000000000";"2";"600,000000000000";"610,000000000000";TRUE;"random_map";FALSE;"93001";"6";"random_map";"normal";"dark"
"migration";"2023/09/19 17:53:17";"1237.6";"728";"260492695";"610,500000000000";"2";"604,000000000000";"617,000000000000";TRUE;"random_map";FALSE;"93001";"6";"random_map";"normal";"dark"
"arena";"2023/09/19 17:36:10";"3643.1";"2143";"260489763";"786,166666666667";"6";"799,000000000000";"773,333333333333";TRUE;"team_random_map";FALSE;"93001";"8";"random_map";"normal";"dark"
"mongolia";"2023/09/21 19:55:27";"3102.5";"1825";"260858249";"920,166666666667";"6";"930,333333333333";"910,000000000000";TRUE;"team_random_map";FALSE;"93001";"8";"random_map";"normal";"dark"
"african_clearing";"2023/09/21 19:33:34";"1856.4";"1092";"260854383";"895,000000000000";"6";"893,666666666667";"896,333333333333";TRUE;"team_random_map";FALSE;"93001";"8";"random_map";"normal";"dark"
"arena";"2023/09/21 15:47:19";"1468.8";"864";"260816023";"965,750000000000";"4";"990,000000000000";"941,500000000000";TRUE;"team_random_map";FALSE;"93001";"7";"random_map";"normal";"dark"
"nomad";"2023/09/22 18:17:57";"6585.8";"3874";"261028396";"908,375000000000";"8";"896,500000000000";"920,250000000000";TRUE;"team_random_map";FALSE;"93001";"9";"random_map";"normal";"dark"
"african_clearing";"2023/09/22 18:14:48";"52.7";"31";"261027863";"929,000000000000";"4";"940,500000000000";"917,500000000000";FALSE;"team_random_map";FALSE;"93001";"7";"random_map";"normal";"dark"
"mongolia";"2023/09/22 11:17:14";"4151.4";"2442";"260961072";"956,250000000000";"4";"964,000000000000";"948,500000000000";TRUE;"team_random_map";FALSE;"93001";"7";"random_map";"normal";"dark"
"nomad";"2023/09/22 19:37:32";"3321.8";"1954";"261043391";"918,750000000000";"4";"918,500000000000";"919,000000000000";TRUE;"team_random_map";FALSE;"93001";"7";"random_map";"normal";"dark"
"african_clearing";"2023/09/22 18:48:17";"3367.7";"1981";"261033901";"937,500000000000";"6";"944,000000000000";"931,000000000000";TRUE;"team_random_map";FALSE;"93001";"8";"random_map";"normal";"dark"
"arena";"2023/09/23 06:34:28";"3456.1";"2033";"261143868";"878,000000000000";"6";"882,666666666667";"873,333333333333";TRUE;"team_random_map";FALSE;"93001";"8";"random_map";"normal";"dark"
"megarandom";"2023/09/14 19:50:10";"2143.7";"1261";"259498844";"917,000000000000";"4";"913,500000000000";"920,500000000000";FALSE;"team_random_map";FALSE;"93001";"7";"random_map";"normal";"dark"
"four_lakes";"2023/09/14 19:27:56";"1679.6";"988";"259494916";"885,250000000000";"4";"899,000000000000";"871,500000000000";FALSE;"team_random_map";FALSE;"93001";"7";"random_map";"normal";"dark"
"black_forest";"2023/09/15 18:23:42";"5385.6";"3168";"259671525";"882,333333333333";"6";"875,333333333333";"889,333333333333";FALSE;"team_random_map";FALSE;"93001";"8";"random_map";"normal";"dark"
"migration";"2023/09/15 17:56:36";"2407.2";"1416";"259666731";"622,500000000000";"2";"600,000000000000";"645,000000000000";FALSE;"random_map";FALSE;"93001";"6";"random_map";"normal";"dark"
"migration";"2023/09/15 13:37:10";"4506.7";"2651";"259620009";"538,000000000000";"2";"488,000000000000";"588,000000000000";FALSE;"random_map";FALSE;"93001";"6";"random_map";"normal";"dark"
"migration";"2023/09/16 17:38:19";"635.8";"374";"259886061";"622,500000000000";"2";"627,000000000000";"618,000000000000";TRUE;"random_map";FALSE;"93001";"6";"random_map";"normal";"dark"
"migration";"2023/09/16 18:05:46";"3119.5";"1835";"259891248";"586,500000000000";"2";"571,000000000000";"602,000000000000";FALSE;"random_map";FALSE;"93001";"6";"random_map";"normal";"dark"
"migration";"2023/09/16 18:39:59";"409.7";"241";"259897800";"862,500000000000";"8";"863,250000000000";"861,750000000000";TRUE;"team_random_map";FALSE;"93001";"9";"random_map";"normal";"dark"
"nomad";"2023/09/03 19:25:10";"3379.6";"1988";"257336393";"915,166666666667";"6";"910,333333333333";"920,000000000000";FALSE;"team_random_map";FALSE;"87863";"8";"random_map";"normal";"dark"
